comment,gender,race,migrants,religion,sexual_orientation,acceptable
"Britanci vzgojili rastlino, ki je istočasno krompir in paradižnik. Izgovorjava bo v ZDA še vedno drugačna, trdi ameriška stroka.",0.0,0.0,0.0,0.0,0.0,1.0
Blagajna svetovne nogometne zveze se hitro polni z globami,0.0,0.0,0.0,0.0,0.0,1.0
Tole je pravi SPOMLADANSKI pušlc! Živeli,0.0,0.0,0.0,0.0,0.0,1.0
"Zaprt izvoz Ajdovščina prizadene samo migrante, ki se vračajo z dela v Novi Gorici.",0.0,0.0,0.0,0.0,0.0,1.0
"TOP 10 dražb: cayenne za 5 jurjev, stanovanja v Kopru, Celju in Vrhniki, hiše v Ljubljani in Izoli",0.0,0.0,0.0,0.0,0.0,1.0
"Zaposleni so na božični zabavi prejeli rdeče kuverte. Ko so jih odprli, so tekle solze sreče … – NAROBESVET",0.0,0.0,0.0,0.0,0.0,1.0
"E pretiravat, no.Nemci jih neuspesno vracajo s 3000€ vred.",0.0,0.0,0.0,0.0,0.0,1.0
po pricevanju nekaterih Hr medijev je bil njegov oce eksekutor. On pa paradira z titovko..,0.0,0.0,0.0,0.0,0.0,1.0
"Šle so skozi usposabljanje aspirinov , lekadolov , apaurinov in vijager",0.0,0.0,0.0,0.0,0.0,1.0
toplovod vprašanje za Zinko: če si zadnjič ni upala poklicat ker se je bala da ne bi testa nardila? 😋,0.0,0.0,0.0,0.0,0.0,1.0
Posnetek predstave Zamorc s krono:,0.0,0.0,0.0,0.0,0.0,1.0
"BEAUTY Danes vam tako predstavljamo 5 znakov, da uporabljate napačen tekoči puder. Če jih zaznate pri nanosu...",0.0,0.0,0.0,0.0,0.0,1.0
"Ne, mi je na pošti čudežno uspelo najti okence za oddajo in prevzem pošiljk. :P",0.0,0.0,0.0,0.0,0.0,1.0
Nejca so našli mrtvega: BREZ ZNAKOV KAZNIVEGA DEJANJA,0.0,0.0,0.0,0.0,0.0,1.0
Policisti ukrepali proti vardistom: sedmim osebam zasegli domnevno orožje,0.0,0.0,0.0,0.0,0.0,1.0
Zastava v rasica se visi in bo se do 15ga najboljsamami,0.0,0.0,0.0,0.0,0.0,1.0
"Prosil sem boga za novo kolo. Ker pa vem, da bog ne deluje na tak način, sem ga ukradel in ga raje prosil odpuščanja.",0.0,0.0,0.0,0.0,0.0,1.0
"CR7 moško spodnje perilo, zagotavlja udobje v vsaki situaciji",0.0,0.0,0.0,0.0,0.0,1.0
Ne žalit opic! Z opicami mamo samo skupnega prednika.,0.0,0.0,0.0,0.0,0.0,1.0
"To, da moraš biti povsod posttežen kot da si king, je hohštaplerski mit.",0.0,0.0,0.0,0.0,0.0,1.0
"Danes vabljeni na domači makaronflajš, ki ga bo to dopoldne za vas pripravljala teta Tončka. Samo v Harvey Norman...",0.0,0.0,0.0,0.0,0.0,1.0
"Spat ne bom mogla, ministrici sem napisala, kar mislim, pa upam, da se jutri kaj premakne. Bog nam pomagaj!",0.0,0.0,0.0,0.0,0.0,1.0
Kmalu po vzletu z moskovskega letališča Domodedovo z radarjev izginilo rusko potniško letalo An-148 z 71 ljudmi na krovu.,0.0,0.0,0.0,0.0,0.0,1.0
Začnemo ob 12. Uri. Dobrodošli pri nas. Ekipa Ob železnici vas pričakuje obzeleznici bozic loce bozicek bozicnatrznica,0.0,0.0,0.0,0.0,0.0,1.0
Pust lačnih ust! Pridružite se nam na pustnem rajanju v Grand Casinò Lipica in se posladkajte s slastnimi pustnimi dobrotami. 🎉🥳🤡,0.0,0.0,0.0,0.0,0.0,1.0
"FOTO: Neverjetna odločitev podjetnika: tako skrbi za ljudi, ki jim je orkan uničil domove",0.0,0.0,0.0,0.0,0.0,1.0
Na vseh pozicijah so že otroci Balkancev krojijo nam usodo Ajde da pojedemo!,0.0,1.0,0.0,0.0,0.0,0.0
EFI Fiery vmesnika za nove sisteme Konica Minolta Bizhub: Fiery IC-308 in IC-415 podpirata upravljanje novih t...,0.0,0.0,0.0,0.0,0.0,1.0
Jutri dopoldan v Zoofo prinesem malo sončka. Pridite kaj naokrog. Z vami bom Renata Bedene,0.0,0.0,0.0,0.0,0.0,1.0
'organizacija dela uspešnega zavarovalniškega strokovnjaka' RazgaljenaProdaja,0.0,0.0,0.0,0.0,0.0,1.0
"Nesreča avtobusa in tovornjaka, poškodovanih več najstnikov",0.0,0.0,0.0,0.0,0.0,1.0
"Praviloma pomaga popolno ugašanje in prižiganje ter, da telefon pustiš na miru, da sam odmelje vse kar si misli.",0.0,0.0,0.0,0.0,0.0,1.0
Martincek je pa postal žaljiv.,0.0,0.0,0.0,0.0,0.0,1.0
"Primerjava s srednjim vekom je žaljiva. Takrat ni bilo morilskih mašinerij, kakršne so uporabljali totalitarizmi.",0.0,0.0,0.0,0.0,0.0,1.0
🤣🤣🤣. Saj veš kak pravijo.. Laščana pa cigana srečaš povsod 😂💪🏼,0.0,1.0,0.0,0.0,0.0,0.0
Poljska bo zgradila sončno elektrarno v bližini največje termoelektrarne v Evropi -,0.0,0.0,0.0,0.0,0.0,1.0
Najdražje nepremičnine na Bledu: kupujejo Otmar Zorn in Kitajci,0.0,0.0,0.0,0.0,0.0,1.0
Bojda imajo vombati drekce v obliki kvadrov. svašta,0.0,0.0,0.0,0.0,0.0,1.0
Nocoj v ekskluzivni in eksvizitni gost Pascal Bruckner. Ob tem še iz Bruslja veleposlanik pri Natu Jelko Kacin in še... Odmevi,0.0,0.0,0.0,0.0,0.0,1.0
pripelji svoje najboljše prijatelje in starše na zabavo,0.0,0.0,0.0,0.0,0.0,1.0
Botru so se poškodovala vrata na pečici..in on tako..upam da je ventil priprl...če ni pod gasom..,0.0,0.0,0.0,0.0,0.0,1.0
"Res je, vse slike iz Zadra so fake. Manipulirajo z nami. Kak jih ni sram.",0.0,0.0,0.0,0.0,0.0,1.0
Sej veš da te zato zmerjajo z fašistom! Mussolini je probal pa je obtičal na veji.,0.0,0.0,0.0,0.0,0.0,1.0
"A mi lahko nekdo pliz pove kaj je fora radiobatlesi ?? Zgleda da sem premalo na twitterju, nč kaj dost jasno. :)",0.0,0.0,0.0,0.0,0.0,1.0
Enodnevni izleti po Sloveniji so z 1nadan cenejši,0.0,0.0,0.0,0.0,0.0,1.0
"Zvončki že cvetijo, ptički brezskrbno čivkajo. Še dobro, da ne vedo, da je daleč pomlad (in da ne berejo tvitov).",0.0,0.0,0.0,0.0,0.0,1.0
"Da ne bo še optike zastonj potegnila, pol bo šele hudo 😂 👍👍",0.0,0.0,0.0,0.0,0.0,1.0
Na Bavarskem kličejo FFB Führerschein fur Bauer ( vozniško dovoljenje za kmeta),0.0,0.0,0.0,0.0,0.0,1.0
"Ali že migrante opokojujejo?. Ni čudno, da Šami noče na Hrvaško",0.0,0.0,1.0,0.0,0.0,0.0
"45min po budilki sem uspesno prisla do roba postelje, v sedefem polozaju, skorajda pripravljena na to, da dejansko vstanem. Skorajda.",0.0,0.0,0.0,0.0,0.0,1.0
"Moji uredu, cakam, da me odpeljejo v operacijsko UKC travma, vsi prijazni, dober zacetek",0.0,0.0,0.0,0.0,0.0,1.0
"zunaj pojejo ptice, sije sonce, pomlad v polnem razcvetu. privoščim si sprehod. damask je najstarejše mesto na svetu. :(",0.0,0.0,0.0,0.0,0.0,1.0
Goljufi iz Istanbula molzejo zaljubljene Slovenke: 14 so jih ogoljufali za skupaj 200.000 evrov | Revija Reporter,0.0,0.0,0.0,0.0,0.0,1.0
"Stroj, ki posuši, zlika in zloži vaša oblačila ! To si bo želela prav vsaka ženska, pa tudi moški! - Megasvet",0.0,0.0,0.0,0.0,0.0,1.0
"Francozinje, ki so jih naša dekleta presenetila v uvodni tekmi, so že v polfinalu. Za finale morajo premagati Švedinje. rokomet",0.0,0.0,0.0,0.0,0.0,1.0
"V naravni senci nekega cvetočega rastlinja sredi obskurnega šišenskega lokala srkam kavo, vižla pa lovi ose. To so te luškane nedelje.",0.0,0.0,0.0,0.0,0.0,1.0
"Solarnih celic, optičnih kablov, odkritja virusa HIV, ipd, verjetno ne bi pripisali znanstvenicam. Ali pač?",0.0,0.0,0.0,0.0,0.0,1.0
Še vedno čakam na vsakodnevna štihanja in samomorilske napade s strani kataloncev.,0.0,1.0,0.0,0.0,0.0,0.0
Kam si naj gredo samske punce iskat fante? V gostilno ob telovadnici ali ob cerkvi. Slej ko prej se vsi moski znajdejo tam... nizakaj,0.0,0.0,0.0,0.0,0.0,1.0
"Zabijte si že enkrat v glavo: vlada ne bo nič plačala, ampak DAVKOPLAČEVALCI!",0.0,0.0,0.0,0.0,0.0,1.0
"Če želim ohranit novi telefon cel, bom definitivno morala spremeniti nekaj grdih razvad. 😎😖🙄",0.0,0.0,0.0,0.0,0.0,1.0
Končno je neznosne vročine konec in mnogi si ravno jesenski čas izberejo za rekreacijo na prostem. Kako se je...,0.0,0.0,0.0,0.0,0.0,1.0
Antalis širi izbor FSC-certificiranega kartona,0.0,0.0,0.0,0.0,0.0,1.0
"Z olfo ga je porezal po vratu? Manjša poškodba? Kako daleč od vratne arterije? Poskus uboja, ne pa povzročitev manjše poškodbe!",0.0,0.0,0.0,0.0,0.0,1.0
Tako se zapostavljajo v Evropi Evropejci in bogato nagrajujejo nezakoniti muslimanski emigranti.,0.0,0.0,1.0,0.0,0.0,0.0
Tvitmit! Ampak vsak prpele še enga namišlenga prjatla.,0.0,0.0,0.0,0.0,0.0,1.0
"Ko jih je postavil Franc, so goreli. Ko jih je postavil Zoran, pa ljudje skoraj ploskajo. radarji",0.0,0.0,0.0,0.0,0.0,1.0
Večja koncentracija sperme pri moških z ohlapnejšimi spodnjicami,0.0,0.0,0.0,0.0,0.0,1.0
"A mu bo tavariš Putin sploh dovolu oditi? Pri doživljenskih zaporih je ponavadi tako, da te ven odnesejo šele, ko mrčkaš! 🧐",0.0,0.0,0.0,0.0,0.0,1.0
"Laž je laž. Ni ne leva, ne desna. Ponavadi je pokrita s plaščem resnice.(pod njim pa naga rit)🙋",0.0,0.0,0.0,0.0,0.0,1.0
"Res ne vem kam mi je dan danes ušel. Možgani na paši, zunaj sonce, knjiga v parku, živahna mladina ... SuperFinoFajn",0.0,0.0,0.0,0.0,0.0,1.0
"Flaša vina v torbici pod desno ramo in vreča z darilci v levi roki. Trenutek, ko te končno ""zadane"", da je december. Vem, pozna sem. 🙈",0.0,0.0,0.0,0.0,0.0,1.0
"Ta kmet je pa res za hece. Ko smo splezali na edino drevo, na katerega smo znali splezati, so nas pregnali, žugajoč nam s palico.",0.0,0.0,0.0,0.0,0.0,1.0
"Viš, enkrat na busu sem mislila, da mi Misfitsi svirajo sam v glavi, pa jih je slišalu polovica potnikov.",0.0,0.0,0.0,0.0,0.0,1.0
Schumacher v rdečem bolidu :O Nekaj malega simbolike f1 schumacher ferrari,0.0,0.0,0.0,0.0,0.0,1.0
"""Pod nebesi je velik nered."" Slavoj in Pravkar v HNK Zagreb. Povzetek in analiza kmalu na",0.0,0.0,0.0,0.0,0.0,1.0
Jo je treba prepovedat ker poteme ne gredo tablete v prodajo....,0.0,0.0,0.0,0.0,0.0,1.0
"Nehajte se nenehno zgražati. Vdihni, izdihni, počakaj, nikoli ne veš, ali je zgodba, s katero ti postrežejo, sploh resnična.",0.0,0.0,0.0,0.0,0.0,1.0
V mešalniku si pripravi vitaminski napitek brez maščob in holesterola.🔝🍉,0.0,0.0,0.0,0.0,0.0,1.0
"Alfa je pri mehaniku, pa si je za vmes kupil en malo bolj zihr avto.",0.0,0.0,0.0,0.0,0.0,1.0
"Nesreča na dolenjski avtocesti, proti Ljubljani se vijejo kolone vozil foto",0.0,0.0,0.0,0.0,0.0,1.0
"Seveda, sedaj spet Benedik. Priimka Repovž se očitno sramuje.",0.0,0.0,0.0,0.0,0.0,1.0
"Pol limone, nagelj.žbice - baje odganja nadležne muhe - deluje.",0.0,0.0,0.0,0.0,0.0,1.0
"""ena, dva, tri, stiri ..."" Marolt steje. Paranoja. Nieti pred malo manj kot do tretjino napolnjeno dvorano. motorhead",0.0,0.0,0.0,0.0,0.0,1.0
"le ti slovenci ki so šli v Nemčijo so v resnici čefurji z Slovenskim državljanstvom,ki razlagajo okoli da so Slovenci!!!!",0.0,1.0,0.0,0.0,0.0,0.0
Z rastjo plač raste inflacija in z njo EURIBOR. Korist ima samo država z več pobranimi davki.,0.0,0.0,0.0,0.0,0.0,1.0
"Obešanka z kokoškami, za prihajajoče praznike, ki je še v delu... Kako se Vam zdi? Bi kaj dodali, spremenili? :)",0.0,0.0,0.0,0.0,0.0,1.0
"Tole ni glih za prehvalit. Res pa je, da je očitno poškodovan. Bog ne daj, da ga Nole dobi v roke 😆",0.0,0.0,0.0,0.0,0.0,1.0
"Preden greste na počitnice, poskrbite za zavarovanje. Vzajemna, pokrovitelj tekme Zavas Siliko : KMN Sevnica.",0.0,0.0,0.0,0.0,0.0,1.0
Tudi mutacije se dogajajo z razlogom. Mogoče post-industrijska high-tech družba vedno bolj sili v to in avtizem.,0.0,0.0,0.0,0.0,0.0,1.0
"Sleci se, da ugotoviš ali si si dejansko všeč, ali ti je všeč perilo.",0.0,0.0,0.0,0.0,0.0,1.0
"VSEENO,ČE VAM JE PRVA, DRUGA ALI TRETJA UŽIVAJTE V VSAKEM POŽIRKU POSEBEJ,TUDI TISTI,KI PIJETE ČAJ ALI SOK, JAZ PIJEM PIR.",0.0,0.0,0.0,0.0,0.0,1.0
Pajek mi ga je odpeljal...kaj sem šel tu parkirat...?,0.0,0.0,0.0,0.0,0.0,1.0
Ekspropriirajmo hiše delavcev in kmetov! Vanje naselimo ilegalne migrante! Bodimo človekoljubni!,0.0,1.0,0.0,0.0,0.0,0.0
takoj orožje v roke migrantom. Ampak samo ilegalnim! Lp,0.0,1.0,0.0,0.0,0.0,0.0
Protivirusna programska zaščita. Za vzojno izobraževalne zavode še naprej F-Secure.,0.0,0.0,0.0,0.0,0.0,1.0
"1. DKJS UP Kranj: treba je delati z influencerji, s slavnimi. Mladi jim sledijo, jih poslušajo. PRSS",0.0,0.0,0.0,0.0,0.0,1.0
"V visitRijeka bo v naslednjem obdobju vse v znamenju Riječki karneval-a. Peti letni čas, kot ga imenujejo na...",0.0,0.0,0.0,0.0,0.0,1.0
"To so te kognitivne distorzije ... ste prešteli, koliko potencialno levih odstotkov je šlo v nič na isti način?",0.0,0.0,0.0,0.0,0.0,1.0
"Če hočeš v Sloveniji plačevat s telefonom namesto s kešem ali kartico, je opcija wave2pay pri banki",0.0,0.0,0.0,0.0,0.0,1.0
Vse najboljše ter še mnogo preplavanih in prevoženih kilometrov!,0.0,0.0,0.0,0.0,0.0,1.0
Skozi Pahorjevo pisarno je šlo skozi 11.000 maturantskih mišk. To mi deli! Volitve,0.0,0.0,0.0,0.0,0.0,1.0
Nevroznanstveniki: Meditacija pomlajuje,0.0,0.0,0.0,0.0,0.0,1.0
"Stanujem v bližini Stožic. Koga lahko tožim, ker v času športnih dogodkov, koncertov itd, ne morem domov? situlacase",0.0,0.0,0.0,0.0,0.0,1.0
Pri bolnikih na kumarinih lahko INR ob uvedbi antibiotika (npr. amoksicilin/klavulanska kislina) iztiri. FOAMed,0.0,0.0,0.0,0.0,0.0,1.0
Praskalnik | praskalno drevo - Pravljični mačji dvorec,0.0,0.0,0.0,0.0,0.0,1.0
"V Teksasu naj bi ubili moškega, ki je državo teroriziral z bombami",0.0,0.0,0.0,0.0,0.0,1.0
Zna pomagat. Ce sosed pol prereze kabel. Sicer pa te soylune hitro minejo. Mogoce bo ze nova Elsa letos.,0.0,0.0,0.0,0.0,0.0,1.0
"Se ga spomnim iz srednje sole... ce nebi imel tazga fotra, niti gimnazije nebi naredu.",0.0,0.0,0.0,0.0,0.0,1.0
"Rutinirano... Zraven je mel še čas se vprašat, kaj bo dons za jest v menzi...",0.0,0.0,0.0,0.0,0.0,1.0
"Dražbe tedna! Avtomobili, hiše, stanovanja na obali, delnice in več! 💡 drazba drazbetedna",0.0,0.0,0.0,0.0,0.0,1.0
napad in ponoven prevzem palmire je bila ena njihovih zadnjih akcij. Poskušajo še deirezzor pa jim ne gre,0.0,0.0,0.0,0.0,0.0,1.0
"nikol pozabu, kako je na enem pikniku ob kolpi sodelavkina hčerka prijavila: 'mami, zakaj je pa solata v moji skledi bruhalki""",0.0,0.0,0.0,0.0,0.0,1.0
"Lezbijki dečke zapirali v kletke, jih nastavljali kačam in podganam. Enemu je počilo srce",0.0,0.0,0.0,0.0,1.0,0.0
"No, prav. Dam pa še kakšno pištolo za povrh. Pa reci, da ni bombastična ponudba . . .😉",0.0,0.0,0.0,0.0,0.0,1.0
Dobre države z Golobom pa nikjer? Ne morem verjeti.,0.0,0.0,0.0,0.0,0.0,1.0
"Ziher si cepljena in imaš avtizem, pa si samo malo preobčutiva😀",0.0,0.0,0.0,0.0,0.0,1.0
"Ne gre se, da ne dam, ampak ravno v tem je poanta, da si lahko drzava zatiska oči, ker češ bo že ljudstvo.",0.0,0.0,0.0,0.0,0.0,1.0
Zakaj pa takoj ne dobijo specializacije. Pa toluko specialistov manjka.,0.0,0.0,0.0,0.0,0.0,1.0
"Jasneje se kažejo tudi grozljive posledice: 40 mrtvih, 100.000 evakuiranih, 5700 uničenih objektov. (via",0.0,0.0,0.0,0.0,0.0,1.0
"Vas še nisem videla ,da bi lutke obešali iz mostov!",0.0,0.0,0.0,0.0,0.0,1.0
"Citiram: “Temnopolti(vstavi šport), umetnik, znanstvenik etc. judovskega porekla... Za bruhat.",0.0,1.0,0.0,0.0,0.0,0.0
Ministranti in pevci s na ogledu jaslic v Ljubljani...,0.0,0.0,0.0,0.0,0.0,1.0
Stoletnica bombnega napada italijanske avijacije na Koroško Belo,0.0,0.0,0.0,0.0,0.0,1.0
Mreža MaMa danes na usposablanju v sklopu projekta MLADIM - Medvrstniško informiranje v Celjskem Mladinskem Centru!,0.0,0.0,0.0,0.0,0.0,1.0
"Pulover je kos oblacila, ki ga otrok oblece, ko mamo zebe. :D",0.0,0.0,0.0,0.0,0.0,1.0
